,Provider Business Practice Location Address Zip Code (5 digits),Addiction
0,00250,1
1,00601,2
2,00602,1
3,00603,3
4,00612,1
5,00623,1
6,00624,1
7,00627,1
8,00646,1
9,00656,4
10,00659,2
11,00662,1
12,00664,2
13,00667,1
14,00674,4
15,00676,1
16,00680,6
17,00681,1
18,00682,3
19,00692,1
20,00693,1
21,00698,7
22,00714,1
23,00716,5
24,00717,2
25,00718,1
26,00725,4
27,00726,1
28,00727,2
29,00728,5
30,00729,1
31,00730,4
32,00731,4
33,00732,3
34,00737,1
35,00739,3
36,00745,2
37,00751,2
38,00754,1
39,00757,4
40,00767,1
41,00769,1
42,00771,1
43,00777,1
44,00780,1
45,00784,2
46,00791,3
47,00794,1
48,00795,5
49,00802,1
50,00901,4
51,00907,1
52,00909,1
53,00910,2
54,00911,2
55,00912,1
56,00915,1
57,00917,3
58,00918,4
59,00920,2
60,00921,6
61,00922,1
62,00923,1
63,00925,1
64,00926,9
65,00927,2
66,00949,1
67,00950,1
68,00953,3
69,00956,3
70,00959,3
71,00960,1
72,00961,2
73,00962,1
74,00966,1
75,00968,2
76,00969,3
77,00976,1
78,00979,1
79,00985,3
80,00987,3
81,01001,2
82,01002,3
83,01013,22
84,01020,2
85,01022,1
86,01027,4
87,01028,3
88,01030,1
89,01040,29
90,01053,1
91,01056,2
92,01060,12
93,01062,3
94,01069,2
95,01073,2
96,01075,1
97,01082,1
98,01085,10
99,01089,7
100,01095,1
101,01103,5
102,01104,17
103,01105,16
104,01106,2
105,01107,37
106,01108,6
107,01109,17
108,01118,1
109,01119,1
110,01151,2
111,01199,2
112,01201,18
113,01230,1
114,01237,1
115,01245,2
116,01247,2
117,01301,18
118,01331,2
119,01364,2
120,01420,43
121,01430,2
122,01432,2
123,01440,5
124,01453,6
125,01460,4
126,01473,1
127,01501,1
128,01510,1
129,01520,2
130,01524,1
131,01532,2
132,01545,1
133,01550,16
134,01562,3
135,01568,1
136,01581,9
137,01583,1
138,01588,2
139,01602,1
140,01603,2
141,01604,2
142,01605,68
143,01606,4
144,01608,23
145,01609,14
146,01610,11
147,01613,1
148,01655,16
149,01701,6
150,01702,36
151,01719,1
152,01720,4
153,01730,3
154,01731,1
155,01742,2
156,01746,1
157,01749,1
158,01752,2
159,01754,1
160,01757,4
161,01760,3
162,01776,1
163,01801,33
164,01805,1
165,01810,1
166,01821,1
167,01824,3
168,01826,1
169,01830,12
170,01832,1
171,01835,3
172,01840,20
173,01841,11
174,01844,4
175,01845,3
176,01850,1
177,01851,14
178,01852,16
179,01854,38
180,01860,1
181,01864,1
182,01867,5
183,01876,8
184,01880,4
185,01887,2
186,01895,1
187,01901,18
188,01902,4
189,01904,3
190,01905,33
191,01906,2
192,01907,1
193,01913,6
194,01915,21
195,01923,13
196,01930,14
197,01945,2
198,01949,2
199,01950,1
200,01960,11
201,01970,33
202,01983,1
203,02021,4
204,02026,3
205,02032,1
206,02035,1
207,02038,1
208,02043,4
209,02045,1
210,02050,1
211,02054,1
212,02061,6
213,02062,2
214,02066,2
215,02067,2
216,02072,3
217,02081,10
218,02090,1
219,02093,1
220,02108,9
221,02109,3
222,02111,1
223,02114,36
224,02115,13
225,02116,2
226,02118,101
227,02119,35
228,02120,2
229,02121,4
230,02122,3
231,02124,6
232,02126,8
233,02127,21
234,02128,6
235,02130,55
236,02131,2
237,02132,4
238,02134,3
239,02135,29
240,02136,1
241,02138,5
242,02139,9
243,02140,4
244,02143,18
245,02144,15
246,02145,2
247,02148,3
248,02149,7
249,02150,40
250,02151,3
251,02152,3
252,02155,7
253,02169,78
254,02170,4
255,02171,5
256,02176,2
257,02184,1
258,02186,1
259,02188,1
260,02189,2
261,02190,5
262,02191,1
263,02210,1
264,02215,9
265,02246,1
266,02301,87
267,02302,44
268,02324,2
269,02332,1
270,02333,1
271,02334,1
272,02339,3
273,02341,1
274,02343,1
275,02346,12
276,02360,57
277,02364,2
278,02368,7
279,02370,1
280,02379,2
281,02445,1
282,02446,7
283,02451,1
284,02453,3
285,02458,3
286,02459,3
287,02461,5
288,02464,2
289,02465,1
290,02466,1
291,02467,2
292,02468,1
293,02472,2
294,02474,4
295,02476,2
296,02478,9
297,02481,1
298,02482,2
299,02492,2
300,02494,1
301,02532,2
302,02536,2
303,02537,1
304,02538,22
305,02540,35
306,02554,4
307,02556,1
308,02557,9
309,02568,8
310,02571,1
311,02601,11
312,02630,1
313,02631,3
314,02632,1
315,02639,1
316,02641,1
317,02642,1
318,02644,1
319,02645,1
320,02649,5
321,02651,1
322,02664,15
323,02668,1
324,02703,3
325,02715,1
326,02717,1
327,02719,3
328,02720,47
329,02721,25
330,02723,6
331,02724,9
332,02738,1
333,02739,2
334,02740,115
335,02744,4
336,02746,45
337,02747,2
338,02748,3
339,02766,2
340,02767,1
341,02771,1
342,02777,6
343,02779,1
344,02780,37
345,02790,2
346,02806,9
347,02809,1
348,02813,6
349,02814,1
350,02816,1
351,02818,3
352,02822,2
353,02828,4
354,02830,1
355,02840,3
356,02842,9
357,02852,31
358,02859,9
359,02860,56
360,02861,3
361,02863,4
362,02864,2
363,02865,2
364,02871,4
365,02878,3
366,02879,8
367,02881,1
368,02882,2
369,02885,3
370,02886,41
371,02888,27
372,02889,3
373,02891,11
374,02893,3
375,02895,78
376,02898,4
377,02903,5
378,02904,53
379,02905,31
380,02906,13
381,02907,15
382,02908,13
383,02909,9
384,02910,16
385,02911,3
386,02912,1
387,02914,7
388,02915,12
389,02916,2
390,02919,21
391,02920,16
392,02921,2
393,03031,2
394,03036,1
395,03038,6
396,03045,1
397,03046,1
398,03051,15
399,03053,4
400,03054,1
401,03060,14
402,03062,4
403,03063,16
404,03064,4
405,03077,2
406,03079,3
407,03087,1
408,03101,46
409,03102,2
410,03103,56
411,03104,24
412,03105,1
413,03109,1
414,03110,6
415,03215,1
416,03220,1
417,03227,1
418,03229,2
419,03235,7
420,03240,1
421,03246,8
422,03249,7
423,03251,1
424,03253,2
425,03255,1
426,03257,3
427,03261,1
428,03264,2
429,03275,1
430,03276,3
431,03281,1
432,03285,1
433,03301,61
434,03303,1
435,03431,23
436,03440,1
437,03444,2
438,03446,2
439,03458,1
440,03561,11
441,03570,2
442,03574,7
443,03576,1
444,03581,1
445,03583,1
446,03584,7
447,03602,1
448,03741,2
449,03743,4
450,03755,5
451,03756,6
452,03766,12
453,03768,1
454,03784,23
455,03801,29
456,03809,1
457,03818,4
458,03819,2
459,03820,26
460,03824,4
461,03833,5
462,03839,1
463,03840,3
464,03841,7
465,03842,1
466,03858,1
467,03860,3
468,03867,5
469,03872,1
470,03874,1
471,03878,29
472,03882,3
473,03894,2
474,03896,1
475,03903,1
476,03904,2
477,03906,3
478,03909,6
479,04002,4
480,04005,16
481,04008,2
482,04009,12
483,04011,16
484,04032,2
485,04038,2
486,04041,2
487,04043,5
488,04048,1
489,04061,1
490,04062,15
491,04064,7
492,04068,1
493,04070,1
494,04071,1
495,04072,7
496,04073,2
497,04074,8
498,04082,1
499,04083,12
500,04084,2
501,04086,1
502,04092,34
503,04093,1
504,04095,1
505,04096,7
506,04101,65
507,04102,28
508,04103,16
509,04105,3
510,04106,27
511,04108,1
512,04110,1
513,04210,19
514,04217,1
515,04236,1
516,04238,1
517,04240,102
518,04254,3
519,04257,3
520,04259,1
521,04268,15
522,04270,3
523,04276,11
524,04281,7
525,04282,1
526,04294,1
527,04330,42
528,04332,1
529,04333,1
530,04342,1
531,04345,4
532,04347,5
533,04352,1
534,04401,102
535,04412,9
536,04416,4
537,04426,2
538,04438,1
539,04444,1
540,04456,1
541,04457,8
542,04460,1
543,04463,1
544,04473,2
545,04530,3
546,04535,1
547,04543,1
548,04563,1
549,04578,1
550,04605,23
551,04606,1
552,04609,1
553,04614,1
554,04619,15
555,04622,1
556,04630,1
557,04631,3
558,04643,1
559,04652,4
560,04654,2
561,04662,1
562,04667,1
563,04668,3
564,04679,5
565,04730,7
566,04736,13
567,04742,2
568,04743,6
569,04750,9
570,04756,4
571,04758,1
572,04769,6
573,04841,32
574,04843,2
575,04856,3
576,04901,44
577,04915,8
578,04924,1
579,04930,1
580,04932,1
581,04938,15
582,04950,1
583,04952,1
584,04953,1
585,04974,1
586,04976,11
587,04989,1
588,05001,7
589,05009,3
590,05033,6
591,05045,3
592,05047,4
593,05060,18
594,05067,1
595,05079,1
596,05088,5
597,05089,3
598,05091,1
599,05101,4
600,05156,15
601,05201,18
602,05250,1
603,05255,1
604,05257,1
605,05301,30
606,05302,7
607,05356,1
608,05363,1
609,05401,67
610,05403,42
611,05404,7
612,05405,1
613,05408,2
614,05443,4
615,05444,2
616,05446,2
617,05450,1
618,05452,8
619,05454,2
620,05464,1
621,05473,1
622,05476,1
623,05477,1
624,05478,23
625,05482,1
626,05488,1
627,05491,1
628,05495,4
629,05602,19
630,05641,10
631,05655,5
632,05656,1
633,05661,9
634,05667,1
