,Provider Business Practice Location Address Zip Code (5 digits),Mental_Health
0,00,1
1,00000,4
2,00014,1
3,00096,1
4,00109,1
5,00250,1
6,00601,8
7,00602,30
8,00603,53
9,00604,1
10,00605,5
11,00606,2
12,00610,11
13,00612,78
14,00613,1
15,00614,1
16,00617,21
17,00622,1
18,00623,26
19,00624,3
20,00625,1
21,00627,17
22,00631,1
23,00637,11
24,00638,7
25,00641,10
26,00646,41
27,00647,2
28,00650,5
29,00653,2
30,00656,7
31,00659,25
32,00660,11
33,00662,29
34,00664,3
35,00667,10
36,00669,15
37,00674,50
38,00676,17
39,00677,4
40,00678,6
41,00680,107
42,00681,6
43,00682,44
44,00683,28
45,00685,19
46,00687,6
47,00688,3
48,00690,2
49,00692,20
50,00693,27
51,00694,1
52,00696,1
53,00698,29
54,00703,7
55,00704,2
56,00705,24
57,00707,1
58,00714,3
59,00715,1
60,00716,61
61,00717,92
62,00718,9
63,00719,14
64,00720,4
65,00721,1
66,00723,2
67,00724,1
68,00725,201
69,00726,22
70,00727,42
71,00728,14
72,00729,15
73,00730,44
74,00731,18
75,00732,9
76,00733,1
77,00734,1
78,00735,2
79,00736,27
80,00737,8
81,00738,19
82,00739,30
83,00745,15
84,00751,12
85,00754,13
86,00757,11
87,00765,1
88,00766,14
89,00767,6
90,00769,28
91,00771,19
92,00772,1
93,00773,8
94,00777,14
95,00778,32
96,00780,23
97,00782,9
98,00783,7
99,00784,26
100,00785,1
101,00786,1
102,00791,65
103,00792,6
104,00794,5
105,00795,22
106,00800,1
107,00801,2
108,00802,21
109,00820,21
110,00824,1
111,00840,4
112,00851,2
113,00901,18
114,00907,82
115,00908,3
116,00909,40
117,00910,3
118,00911,15
119,00912,24
120,00913,4
121,00914,1
122,00915,6
123,00917,50
124,00918,201
125,00919,11
126,00920,37
127,00921,145
128,00922,14
129,00923,19
130,00924,35
131,00925,48
132,00926,178
133,00927,68
134,00928,7
135,00929,2
136,00934,1
137,00935,20
138,00936,28
139,00940,4
140,00949,50
141,00950,4
142,00951,2
143,00952,6
144,00953,35
145,00954,2
146,00956,57
147,00957,19
148,00958,1
149,00959,99
150,00960,19
151,00961,76
152,00962,16
153,00965,2
154,00966,45
155,00967,1
156,00968,30
157,00969,110
158,00970,4
159,00971,10
160,00976,33
161,00977,2
162,00979,16
163,00982,21
164,00983,18
165,00984,7
166,00985,45
167,00986,1
168,00987,41
169,00988,3
170,01001,16
171,01002,143
172,01003,22
173,01005,9
174,01006,1
175,01007,10
176,01010,2
177,01013,51
178,01020,18
179,01022,2
180,01026,1
181,01027,96
182,01028,21
183,01030,15
184,01033,1
185,01035,13
186,01036,4
187,01037,1
188,01038,5
189,01039,3
190,01040,603
191,01050,6
192,01053,35
193,01054,4
194,01056,13
195,01057,3
196,01060,413
197,01061,1
198,01062,62
199,01066,1
200,01069,23
201,01072,2
202,01073,4
203,01075,35
204,01077,3
205,01082,45
206,01083,1
207,01085,147
208,01089,271
209,01092,1
210,01095,14
211,01096,4
212,01098,2
213,01103,682
214,01104,474
215,01105,646
216,01106,42
217,01107,177
218,01108,34
219,01109,98
220,01116,1
221,01118,15
222,01119,7
223,01122,1
224,01128,1
225,01129,6
226,01144,1
227,01151,11
228,01199,45
229,01201,700
230,01202,1
231,01220,5
232,01226,3
233,01230,40
234,01237,1
235,01238,8
236,01240,21
237,01245,3
238,01247,36
239,01254,1
240,01257,2
241,01259,1
242,01261,1
243,01262,43
244,01266,7
245,01267,14
246,01270,1
247,01301,325
248,01330,5
249,01331,79
250,01337,2
251,01340,1
252,01341,3
253,01342,1
254,01344,1
255,01351,3
256,01354,2
257,01355,3
258,01364,28
259,01366,7
260,01368,2
261,01370,6
262,01373,5
263,01375,3
264,01376,5
265,01378,1
266,01388,1
267,01420,287
268,01430,10
269,01431,2
270,01432,11
271,01434,6
272,01436,19
273,01440,117
274,01450,18
275,01451,18
276,01452,4
277,01453,145
278,01460,34
279,01462,6
280,01463,2
281,01464,3
282,01467,1
283,01468,1
284,01469,2
285,01473,20
286,01474,2
287,01475,3
288,01501,20
289,01503,1
