,Provider Business Practice Location Address Zip Code (5 digits),Pediatrics
0,0,1
1,00239,1
2,00601,1
3,00602,6
4,00603,8
5,00604,1
6,00605,1
7,00610,3
8,00612,15
9,00613,2
10,00614,1
11,00617,3
12,00623,6
13,00624,3
14,00627,2
15,00631,1
16,00637,2
17,00638,2
18,00641,2
19,00646,8
20,00647,1
21,00650,1
22,00653,2
23,00656,2
24,00659,4
25,00662,4
26,00667,4
27,00669,7
28,00674,14
29,00676,5
30,00677,1
31,00678,3
32,00680,32
33,00681,1
34,00682,2
35,00683,10
36,00685,8
37,00687,2
38,00688,1
39,00692,6
40,00693,3
41,00698,7
42,00703,4
43,00705,9
44,00715,1
45,00716,39
46,00717,25
47,00718,3
48,00719,2
49,00721,1
50,00723,4
51,00725,30
52,00726,5
53,00727,5
54,00728,2
55,00729,4
56,00730,4
57,00731,9
58,00732,3
59,00733,4
60,00734,1
61,00735,1
62,00736,9
63,00737,3
64,00738,10
65,00739,10
66,00745,3
67,00751,3
68,00754,4
69,00757,1
70,00766,2
71,00767,4
72,00769,5
73,00771,4
74,00772,3
75,00773,4
76,00777,5
77,00778,8
78,00780,3
79,00783,6
80,00784,10
81,00785,1
82,00791,16
83,00792,1
84,00794,1
85,00795,6
86,00796,1
87,00801,1
88,00802,10
89,00820,4
90,00823,1
91,00901,1
92,00902,1
93,00907,32
94,00909,12
95,00910,1
96,00911,2
97,00912,48
98,00915,6
99,00916,1
100,00917,18
101,00918,35
102,00919,16
103,00920,6
104,00921,21
105,00922,3
106,00923,5
107,00924,10
108,00925,3
109,00926,57
110,00927,12
111,00928,3
112,00929,1
113,00935,38
114,00936,48
115,00939,1
116,00949,9
117,00953,7
118,00956,20
119,00957,9
120,00958,1
121,00959,20
122,00960,10
123,00961,25
124,00962,2
125,00965,1
126,00966,15
127,00968,4
128,00969,21
129,00970,1
130,00971,3
131,00976,20
132,00977,1
133,00979,6
134,00982,5
135,00983,8
136,00984,7
137,00985,9
138,00986,2
139,00987,5
140,00988,1
141,01001,5
142,01002,8
143,01003,2
144,01007,1
145,01020,11
146,01027,3
147,01028,6
148,01040,25
149,01050,1
150,01056,1
151,01057,1
152,01060,27
153,01062,1
154,01063,1
155,01069,1
156,01077,1
157,01082,4
158,01085,13
159,01089,6
160,01095,13
161,01098,1
162,01103,4
163,01104,17
164,01105,15
165,01106,13
166,01107,75
167,01108,2
168,01109,8
169,01118,6
170,01199,29
171,01201,15
172,01230,10
173,01245,1
174,01247,10
175,01267,2
176,01301,15
177,01331,1
178,01373,2
179,01376,2
180,01420,6
181,01440,5
182,01450,7
183,01451,2
184,01453,26
185,01501,21
186,01505,1
187,01510,3
188,01520,2
189,01532,2
190,01534,1
191,01541,1
192,01545,5
193,01550,9
194,01562,3
195,01564,4
196,01569,7
197,01570,5
198,01571,1
199,01581,14
200,01583,3
201,01588,2
202,01602,7
203,01604,7
204,01605,40
205,01606,8
206,01607,1
207,01608,11
208,01609,1
209,01610,1
210,01612,1
211,01613,1
212,01655,137
213,01701,16
214,01702,13
215,01719,1
