fips,Provider Business Practice Location Address Zip Code (5 digits),Addiction,County,Population,State,Providers per 10000,Providers per 100000
,00250,1,,,,,
72001,00601,2,Adjuntas Municipio,,PR,,
72003,00602,1,Aguada Municipio,41520.0,PR,0.24084778420038536,2.4084778420038537
72005,00603,3,Aguadilla Municipio,54689.0,PR,0.5485563824535098,5.485563824535098
72013,00612,1,Arecibo Municipio,67010.0,PR,0.14923145799134457,1.4923145799134458
72023,00623,1,Cabo Rojo Municipio,43061.0,PR,0.2322286988226005,2.322286988226005
,00624,1,Peuelas Municipio,,PR,,
72027,00627,1,Camuy Municipio,35159.0,PR,0.2844221963081999,2.844221963081999
72051,00646,1,Dorado Municipio,,PR,,
72059,00656,4,Guayanilla Municipio,21481.0,PR,1.8621107024812626,18.621107024812627
72065,00659,2,Hatillo Municipio,41953.0,PR,0.47672395299501824,4.767239529950182
72071,00662,1,Isabela Municipio,,PR,,
72073,00664,2,Jayuya Municipio,16784.0,PR,1.1916110581506196,11.916110581506196
72079,00667,1,Lajas Municipio,,PR,,
,00674,4,Manat Municipio,44457.0,PR,0.8997458218053399,8.9974582180534
72099,00676,1,Moca Municipio,,PR,,
,00680,6,Mayagez Municipio,58140.0,PR,1.0319917440660475,10.319917440660474
,00681,1,,,PR,,
,00682,3,Mayagez Municipio,32615.0,PR,0.9198221677142419,9.198221677142419
72143,00692,1,Vega Alta Municipio,37511.0,PR,0.266588467382901,2.66588467382901
72145,00693,1,Vega Baja Municipio,61038.0,PR,0.16383236672236967,1.6383236672236967
72153,00698,7,Yauco Municipio,41782.0,PR,1.6753625963333494,16.753625963333494
72015,00714,1,Arroyo Municipio,19566.0,PR,0.5110906674844118,5.110906674844117
72113,00716,5,Ponce Municipio,33779.0,PR,1.4802095976790313,14.802095976790312
72113,00717,2,Ponce Municipio,18457.0,PR,1.0835997182640733,10.835997182640732
72103,00718,1,Naguabo Municipio,26606.0,PR,0.3758550702848981,3.7585507028489813
72025,00725,4,Caguas Municipio,89374.0,PR,0.4475574551883098,4.475574551883098
,00726,1,,,PR,,
72025,00727,2,Caguas Municipio,58382.0,PR,0.34257134048165533,3.425713404816553
72113,00728,5,Ponce Municipio,44908.0,PR,1.1133873697336778,11.133873697336778
,00729,1,Canvanas Municipio,53750.0,PR,0.18604651162790697,1.8604651162790697
72113,00730,4,Ponce Municipio,35742.0,PR,1.1191315539141626,11.191315539141625
72113,00731,4,Ponce Municipio,15524.0,PR,2.576655501159495,25.76655501159495
,00732,3,,,PR,,
,00737,1,,,PR,,
72041,00739,3,Cidra Municipio,39678.0,PR,0.7560864962951762,7.5608649629517615
,00745,2,Ro Grande Municipio,,PR,,
72123,00751,2,Salinas Municipio,23129.0,PR,0.8647152924899477,8.647152924899478
72129,00754,1,San Lorenzo Municipio,40828.0,PR,0.2449299500342902,2.449299500342902
72133,00757,4,Santa Isabel Municipio,,PR,,
72151,00767,1,Yabucoa Municipio,38019.0,PR,0.26302638154606905,2.6302638154606908
72043,00769,1,Coamo Municipio,40248.0,PR,0.24845955078513218,2.484595507851322
72085,00771,1,Las Piedras Municipio,38394.0,PR,0.2604573631296557,2.6045736312965566
