fips,Provider Business Practice Location Address Zip Code (5 digits),Mental_Health,County,Population,State,Providers per 10000,Providers per 100000
,00,1,,,,,
,00000,4,,,,,
,00014,1,,,,,
,00096,1,,,,,
,00109,1,,,,,
,00250,1,,,,,
72001,00601,8,Adjuntas Municipio,,PR,,
72003,00602,30,Aguada Municipio,41520.0,PR,7.22543352601156,72.25433526011561
72005,00603,53,Aguadilla Municipio,54689.0,PR,9.691162756678674,96.91162756678675
,00604,1,,,PR,,
,00605,5,,,PR,,
72093,00606,2,Maricao Municipio,6615.0,PR,3.0234315948601664,30.23431594860166
,00610,11,Aasco Municipio,29016.0,PR,3.7910118555279846,37.910118555279844
72013,00612,78,Arecibo Municipio,67010.0,PR,11.640053723324876,116.40053723324876
,00613,1,,,PR,,
,00614,1,,,PR,,
72017,00617,21,Barceloneta Municipio,24597.0,PR,8.537626539821929,85.37626539821929
72023,00622,1,Cabo Rojo Municipio,7853.0,PR,1.2733987011333248,12.733987011333248
72023,00623,26,Cabo Rojo Municipio,43061.0,PR,6.037946169387613,60.37946169387613
,00624,3,Peuelas Municipio,,PR,,
,00625,1,,,,,
72027,00627,17,Camuy Municipio,35159.0,PR,4.835177337239398,48.351773372393986
72081,00631,1,Lares Municipio,,PR,,
72121,00637,11,Sabana Grande Municipio,,PR,,
72039,00638,7,Ciales Municipio,18941.0,PR,3.69568660577583,36.9568660577583
72141,00641,10,Utuado Municipio,31191.0,PR,3.206053028117085,32.06053028117085
72051,00646,41,Dorado Municipio,,PR,,
,00647,2,Gunica Municipio,6172.0,PR,3.240440699935191,32.40440699935191
72054,00650,5,Florida Municipio,14998.0,PR,3.333777837044939,33.33777837044939
,00653,2,Gunica Municipio,13307.0,PR,1.5029683625159689,15.02968362515969
72059,00656,7,Guayanilla Municipio,21481.0,PR,3.2586937293422094,32.586937293422096
72065,00659,25,Hatillo Municipio,41953.0,PR,5.959049412437728,59.59049412437728
72067,00660,11,Hormigueros Municipio,17250.0,PR,6.3768115942028984,63.768115942028984
72071,00662,29,Isabela Municipio,,PR,,
72073,00664,3,Jayuya Municipio,16784.0,PR,1.7874165872259293,17.874165872259294
72079,00667,10,Lajas Municipio,,PR,,
72081,00669,15,Lares Municipio,29744.0,PR,5.043033889187735,50.43033889187735
,00674,50,Manat Municipio,44457.0,PR,11.24682277256675,112.4682277256675
72099,00676,17,Moca Municipio,,PR,,
,00677,4,Rincn Municipio,15272.0,PR,2.6191723415400734,26.191723415400734
72115,00678,6,Quebradillas Municipio,27819.0,PR,2.156799309824221,21.56799309824221
,00680,107,Mayagez Municipio,58140.0,PR,18.403852769177846,184.03852769177846
,00681,6,,,PR,,
,00682,44,Mayagez Municipio,32615.0,PR,13.490725126475548,134.90725126475547
,00683,28,San Germn Municipio,33772.0,PR,8.290891863081843,82.90891863081842
,00685,19,San Sebastin Municipio,42831.0,PR,4.436039317316896,44.360393173168966
72101,00687,6,Morovis Municipio,32610.0,PR,1.8399264029438822,18.39926402943882
72013,00688,3,Arecibo Municipio,13543.0,PR,2.2151665066824187,22.15166506682419
72005,00690,2,Aguadilla Municipio,6255.0,PR,3.19744204636291,31.974420463629098
72143,00692,20,Vega Alta Municipio,37511.0,PR,5.33176934765802,53.317693476580196
72145,00693,27,Vega Baja Municipio,61038.0,PR,4.423473901503981,44.23473901503981
72145,00694,1,Vega Baja Municipio,328.0,PR,30.48780487804878,304.8780487804878
,00696,1,,,,,
72153,00698,29,Yauco Municipio,41782.0,PR,6.940787899095304,69.40787899095305
72007,00703,7,Aguas Buenas Municipio,28605.0,PR,2.4471246285614403,24.471246285614406
72123,00704,2,Salinas Municipio,8577.0,PR,2.3318176518596245,23.318176518596246
72009,00705,24,Aibonito Municipio,25598.0,PR,9.37573247909993,93.7573247909993
72095,00707,1,Maunabo Municipio,12225.0,PR,0.8179959100204498,8.1799591002045
72015,00714,3,Arroyo Municipio,19566.0,PR,1.5332720024532354,15.332720024532353
72113,00715,1,Ponce Municipio,3656.0,PR,2.735229759299781,27.35229759299781
72113,00716,61,Ponce Municipio,33779.0,PR,18.058557091684182,180.58557091684182
72113,00717,92,Ponce Municipio,18457.0,PR,49.84558704014737,498.4558704014737
72103,00718,9,Naguabo Municipio,26606.0,PR,3.3826956325640833,33.826956325640836
72105,00719,14,Naranjito Municipio,30990.0,PR,4.517586318167151,45.17586318167151
72107,00720,4,Orocovis Municipio,23129.0,PR,1.7294305849798954,17.294305849798956
,00721,1,,,PR,,
72109,00723,2,Patillas Municipio,,PR,,
,00724,1,,,,,
72025,00725,201,Caguas Municipio,89374.0,PR,22.489762123212568,224.89762123212566
,00726,22,,,PR,,
72025,00727,42,Caguas Municipio,58382.0,PR,7.193998150114762,71.93998150114761
72113,00728,14,Ponce Municipio,44908.0,PR,3.1174846352542978,31.17484635254298
,00729,15,Canvanas Municipio,53750.0,PR,2.7906976744186043,27.906976744186046
72113,00730,44,Ponce Municipio,35742.0,PR,12.310447093055789,123.10447093055788
72113,00731,18,Ponce Municipio,15524.0,PR,11.594949755217728,115.94949755217728
,00732,9,,,PR,,
,00733,1,,,PR,,
,00734,1,,,PR,,
72037,00735,2,Ceiba Municipio,13730.0,PR,1.4566642388929352,14.56664238892935
72035,00736,27,Cayey Municipio,51532.0,PR,5.239462858029962,52.394628580299624
,00737,8,,,PR,,
72053,00738,19,Fajardo Municipio,34922.0,PR,5.4406964091403704,54.4069640914037
72041,00739,30,Cidra Municipio,39678.0,PR,7.5608649629517615,75.60864962951761
,00745,15,Ro Grande Municipio,,PR,,
72123,00751,12,Salinas Municipio,23129.0,PR,5.188291754939686,51.88291754939686
72129,00754,13,San Lorenzo Municipio,40828.0,PR,3.1840893504457726,31.840893504457725
72133,00757,11,Santa Isabel Municipio,,PR,,
72147,00765,1,Vieques Municipio,9098.0,PR,1.0991426687183996,10.991426687183997
72149,00766,14,Villalba Municipio,26488.0,PR,5.2854122621564485,52.854122621564485
72151,00767,6,Yabucoa Municipio,38019.0,PR,1.5781582892764143,15.781582892764144
72043,00769,28,Coamo Municipio,40248.0,PR,6.956867421983701,69.568674219837
72085,00771,19,Las Piedras Municipio,38394.0,PR,4.948689899463458,49.48689899463458
,00772,1,Loza Municipio,23105.0,PR,0.43280675178532785,4.328067517853278
72089,00773,8,Luquillo Municipio,20068.0,PR,3.9864460833167232,39.864460833167236
72077,00777,14,Juncos Municipio,40684.0,PR,3.4411562284927735,34.41156228492773
72063,00778,32,Gurabo Municipio,45429.0,PR,7.043958704792093,70.43958704792094
72113,00780,23,Ponce Municipio,13800.0,PR,16.666666666666668,166.66666666666669
,00782,9,Comero Municipio,19304.0,PR,4.662246166597597,46.62246166597597
72047,00783,7,Corozal Municipio,36557.0,PR,1.9148179555215143,19.148179555215144
72057,00784,26,Guayama Municipio,44637.0,PR,5.82476420906423,58.247642090642294
,00785,1,,,PR,,
72009,00786,1,Aibonito Municipio,357.0,PR,28.011204481792717,280.1120448179272
72069,00791,65,Humacao Municipio,53417.0,PR,12.168410805548795,121.68410805548795
,00792,6,,,PR,,
72019,00794,5,Barranquitas Municipio,30585.0,PR,1.6347882949158083,16.347882949158084
,00795,22,Juana Daz Municipio,48736.0,PR,4.514116874589626,45.14116874589626
,00800,1,,,,,
,00801,2,,,,,
,00802,21,,,,,
,00820,21,,,,,
,00824,1,,,,,
,00840,4,,,,,
,00851,2,,,,,
72127,00901,18,San Juan Municipio,7080.0,PR,25.423728813559322,254.2372881355932
72127,00907,82,San Juan Municipio,17458.0,PR,46.969870546454345,469.6987054645435
,00908,3,,,PR,,
72127,00909,40,San Juan Municipio,6230.0,PR,64.20545746388443,642.0545746388443
,00910,3,,,PR,,
72127,00911,15,San Juan Municipio,8623.0,PR,17.39533804940276,173.9533804940276
72127,00912,24,San Juan Municipio,6801.0,PR,35.288928098808995,352.88928098809
72127,00913,4,San Juan Municipio,9312.0,PR,4.29553264604811,42.955326460481096
,00914,1,,,PR,,
72127,00915,6,San Juan Municipio,32820.0,PR,1.8281535648994516,18.281535648994517
72127,00917,50,San Juan Municipio,21053.0,PR,23.749584382273312,237.49584382273312
72127,00918,201,San Juan Municipio,18056.0,PR,111.3203367301728,1113.2033673017281
,00919,11,,,PR,,
72127,00920,37,San Juan Municipio,17893.0,PR,20.678477616945177,206.78477616945176
72127,00921,145,San Juan Municipio,37763.0,PR,38.397373090061706,383.973730900617
,00922,14,,,PR,,
72127,00923,19,San Juan Municipio,,PR,,
