fips,County,State,Pediatrics,Population,Providers per 10000,Providers per 100000
22001,Acadia Parish,LA,4,35328.0,1.1322463768115942,11.322463768115941
51001,Accomack County,VA,4,3112.0,12.853470437017993,128.53470437017995
16001,Ada County,ID,117,234790.0,4.983176455556029,49.831764555560284
29001,Adair County,MO,5,21532.0,2.3221252089912685,23.22125208991269
40001,Adair County,OK,2,13643.0,1.4659532360917689,14.659532360917687
08001,Adams County,CO,764,348487.0,21.923342908056828,219.23342908056827
19003,Adams County,IA,1,2824.0,3.5410764872521248,35.41076487252125
17001,Adams County,IL,11,33758.0,3.2584868771846676,32.58486877184668
28001,Adams County,MS,4,32334.0,1.2370878950949467,12.370878950949466
38001,Adams County,ND,2,1816.0,11.013215859030838,110.13215859030838
31001,Adams County,NE,7,26354.0,2.6561432799575018,26.56143279957502
39001,Adams County,OH,3,16687.0,1.7978066758554565,17.978066758554565
42001,Adams County,PA,7,27619.0,2.534487128426083,25.344871284260833
53001,Adams County,WA,1,16817.0,0.5946363798537194,5.946363798537194
55001,Adams County,WI,1,4396.0,2.2747952684258417,22.74795268425842
50001,Addison County,VT,13,10491.0,12.391573729863692,123.91573729863693
72001,Adjuntas Municipio,PR,1,0.0,inf,inf
72003,Aguada Municipio,PR,6,41520.0,1.4450867052023122,14.450867052023122
72005,Aguadilla Municipio,PR,8,54689.0,1.4628170198760262,14.628170198760262
72007,Aguas Buenas Municipio,PR,4,28605.0,1.3983569306065373,13.983569306065373
72009,Aibonito Municipio,PR,9,25598.0,3.515899679662474,35.15899679662474
45003,Aiken County,SC,11,96115.0,1.1444623627945691,11.44462362794569
12001,Alachua County,FL,243,188629.0,12.882430591266456,128.82430591266456
37001,Alamance County,NC,38,116346.0,3.266120021315731,32.66120021315731
06001,Alameda County,CA,778,1397825.0,5.565789709012216,55.657897090122155
08003,Alamosa County,CO,5,14675.0,3.4071550255536627,34.07155025553663
36001,Albany County,NY,170,201496.0,8.436892047484815,84.36892047484814
56001,Albany County,WY,6,35299.0,1.6997648658602227,16.997648658602227
51003,Albemarle County,VA,19,57477.0,3.3056700941246064,33.05670094124606
28003,Alcorn County,MS,5,29133.0,1.7162667765077404,17.162667765077405
17003,Alexander County,IL,2,3147.0,6.355258976803305,63.55258976803305
51510,Alexandria city,VA,41,123438.0,3.321505533142144,33.21505533142144
40003,Alfalfa County,OK,1,1614.0,6.195786864931846,61.95786864931846
26003,Alger County,MI,1,5025.0,1.990049751243781,19.90049751243781
26005,Allegan County,MI,3,17374.0,1.7267180844940717,17.267180844940718
24001,Allegany County,MD,12,44400.0,2.7027027027027026,27.027027027027028
36003,Allegany County,NY,4,15066.0,2.6549847338377806,26.549847338377806
51005,Alleghany County,VA,3,14329.0,2.0936562216484056,20.936562216484056
42003,Allegheny County,PA,631,904289.0,6.9778577423810315,69.77857742381032
18003,Allen County,IN,92,240969.0,3.817918487440293,38.17918487440293
39003,Allen County,OH,19,41061.0,4.627261878668323,46.272618786683225
22003,Allen Parish,LA,1,10801.0,0.9258401999814833,9.258401999814833
26007,Alpena County,MI,5,22701.0,2.2025461433417033,22.025461433417032
06005,Amador County,CA,8,7362.0,10.866612333604998,108.66612333604998
51007,Amelia County,VA,1,10439.0,0.9579461634256156,9.579461634256155
51009,Amherst County,VA,2,16395.0,1.219884111009454,12.198841110094541
02020,Anchorage Municipality,AK,138,202748.0,6.806478978830864,68.06478978830864
21005,Anderson County,KY,1,21125.0,0.47337278106508873,4.733727810650888
45007,Anderson County,SC,24,78846.0,3.0439083783578114,30.439083783578116
47001,Anderson County,TN,19,55449.0,3.426572165413263,34.265721654132626
48001,Anderson County,TX,7,16799.0,4.166914697303411,41.66914697303411
23001,Androscoggin County,ME,27,41935.0,6.4385358292595685,64.38535829259568
48005,Angelina County,TX,8,38120.0,2.098635886673662,20.98635886673662
24003,Anne Arundel County,MD,156,392772.0,3.971769881763466,39.717698817634655
27003,Anoka County,MN,55,290231.0,1.895042224986304,18.95042224986304
37007,Anson County,NC,2,12355.0,1.6187778227438285,16.187778227438287
04001,Apache County,AZ,36,38620.0,9.321595028482651,93.21595028482652
19007,Appanoose County,IA,1,7847.0,1.2743723716069835,12.743723716069836
13001,Appling County,GA,2,16084.0,1.2434717731907485,12.434717731907487
48007,Aransas County,TX,2,19364.0,1.032844453625284,10.32844453625284
08005,Arapahoe County,CO,179,455785.0,3.927290279408054,39.272902794080544
72013,Arecibo Municipio,PR,16,80553.0,1.9862699092522935,19.862699092522934
26011,Arenac County,MI,4,2850.0,14.035087719298245,140.35087719298244
05001,Arkansas County,AR,1,10736.0,0.9314456035767511,9.314456035767511
51013,Arlington County,VA,45,173757.0,2.5898237193321707,25.89823719332171
42005,Armstrong County,PA,11,23211.0,4.7391323079574335,47.391323079574335
23003,Aroostook County,ME,16,29560.0,5.412719891745603,54.12719891745603
22005,Ascension Parish,LA,14,74727.0,1.8734861562755094,18.734861562755093
39005,Ashland County,OH,8,32345.0,2.4733343638893186,24.733343638893185
55003,Ashland County,WI,3,12071.0,2.485295335929086,24.85295335929086
05003,Ashley County,AR,1,12348.0,0.8098477486232588,8.098477486232587
39007,Ashtabula County,OH,8,65052.0,1.229785402447273,12.29785402447273
48013,Atascosa County,TX,3,19963.0,1.5027801432650405,15.027801432650405
39009,Athens County,OH,9,34122.0,2.637594513803411,26.375945138034112
34001,Atlantic County,NJ,58,216005.0,2.685123029559501,26.85123029559501
28007,Attala County,MS,3,13398.0,2.239140170174653,22.391401701746528
29007,Audrain County,MO,4,15409.0,2.595885521448504,25.95885521448504
39011,Auglaize County,OH,3,12661.0,2.369481083642682,23.69481083642682
51015,Augusta County,VA,20,10270.0,19.474196689386563,194.74196689386562
01001,Autauga County,AL,1,26954.0,0.37100244861616083,3.7100244861616085
13005,Bacon County,GA,2,9848.0,2.0308692120227456,20.308692120227455
13007,Baker County,GA,1,2238.0,4.468275245755138,44.68275245755139
01003,Baldwin County,AL,21,114935.0,1.8271196763388,18.271196763388
13009,Baldwin County,GA,8,43755.0,1.8283624728602443,18.283624728602444
24510,Baltimore City,MD,332,0.0,inf,inf
24005,Baltimore County,MD,253,701722.0,3.605416389966397,36.05416389966397
24510,Baltimore city,MD,449,558352.0,8.04152219388486,80.41522193884862
16005,Bannock County,ID,16,55225.0,2.897238569488456,28.97238569488456
26013,Baraga County,MI,2,4040.0,4.9504950495049505,49.504950495049506
01005,Barbour County,AL,1,16261.0,0.6149683291310498,6.149683291310498
72017,Barceloneta Municipio,PR,3,24597.0,1.2196609342602756,12.196609342602757
25001,Barnstable County,MA,51,97441.0,5.2339364333288865,52.33936433328886
45011,Barnwell County,SC,3,11864.0,2.528658125421443,25.286581254214433
72019,Barranquitas Municipio,PR,1,30585.0,0.3269576589831617,3.2695765898316167
21009,Barren County,KY,8,30349.0,2.6360011862005335,26.360011862005337
55005,Barron County,WI,3,15512.0,1.9339865910263023,19.339865910263022
13013,Barrow County,GA,6,37837.0,1.5857493987366864,15.857493987366864
26015,Barry County,MI,5,19127.0,2.6141057144350914,26.141057144350917
18005,Bartholomew County,IN,20,71810.0,2.785127419579446,27.85127419579446
20009,Barton County,KS,4,19699.0,2.0305599268998424,20.305599268998424
29011,Barton County,MO,1,1604.0,6.234413965087282,62.34413965087282
13015,Bartow County,GA,8,52866.0,1.5132599402262323,15.132599402262322
48021,Bastrop County,TX,5,46819.0,1.0679425019756936,10.679425019756936
05005,Baxter County,AR,2,28560.0,0.7002801120448179,7.002801120448178
12005,Bay County,FL,24,94047.0,2.5519155315959043,25.519155315959043
